IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.90.2.209,443,443,true,FRA,Europe,Frankfurt,259,6.05
34.65.140.94,443,443,true,FRA,Europe,Frankfurt,185,6.05
34.90.2.209,443,443,true,FRA,Europe,Frankfurt,193,6.05
34.159.127.233,443,443,true,FRA,Europe,Frankfurt,252,6.05
34.90.252.67,443,443,true,FRA,Europe,Frankfurt,270,6.05
34.90.89.224,443,443,true,FRA,Europe,Frankfurt,269,6.04
34.154.185.211,443,443,true,FRA,Europe,Frankfurt,195,6.04
34.32.233.205,443,443,true,FRA,Europe,Frankfurt,269,6.04
34.154.21.251,443,443,true,FRA,Europe,Frankfurt,261,6.03
34.90.210.245,443,443,true,FRA,Europe,Frankfurt,269,6.03
34.154.135.136,443,443,true,FRA,Europe,Frankfurt,256,6.03
35.204.152.99,443,443,true,FRA,Europe,Frankfurt,259,6.03
35.198.85.198,443,443,true,FRA,Europe,Frankfurt,210,6.03
34.154.94.37,443,443,true,FRA,Europe,Frankfurt,256,6.02
35.204.36.164,443,443,true,FRA,Europe,Frankfurt,270,6.02
34.91.175.12,443,443,true,FRA,Europe,Frankfurt,269,6.02
34.141.42.112,443,443,true,FRA,Europe,Frankfurt,186,6.02
34.154.133.200,443,443,true,FRA,Europe,Frankfurt,261,6.01
34.90.252.67,443,443,true,FRA,Europe,Frankfurt,260,6.01
35.200.238.235,443,443,true,BOM,Asia Pacific,Mumbai,116,6.00
34.90.2.209,443,443,true,FRA,Europe,Frankfurt,204,5.99
34.90.221.204,443,443,true,FRA,Europe,Frankfurt,207,5.97
34.107.79.216,443,443,true,FRA,Europe,Frankfurt,236,5.97
34.91.27.34,443,443,true,FRA,Europe,Frankfurt,262,5.96
34.91.11.74,443,443,true,FRA,Europe,Frankfurt,270,5.96
34.65.63.32,443,443,true,FRA,Europe,Frankfurt,261,5.96
34.91.180.136,443,443,true,FRA,Europe,Frankfurt,268,5.96
34.89.211.255,443,443,true,FRA,Europe,Frankfurt,251,5.95
34.90.191.243,443,443,true,FRA,Europe,Frankfurt,259,5.94
35.234.102.226,443,443,true,FRA,Europe,Frankfurt,252,5.94
34.90.182.66,443,443,true,FRA,Europe,Frankfurt,259,5.94
34.154.118.68,443,443,true,FRA,Europe,Frankfurt,262,5.93
34.89.252.171,443,443,true,FRA,Europe,Frankfurt,184,5.93
34.89.250.77,443,443,true,FRA,Europe,Frankfurt,251,5.92
34.159.233.157,443,443,true,FRA,Europe,Frankfurt,273,5.92
34.154.11.70,443,443,true,FRA,Europe,Frankfurt,256,5.91
34.89.237.7,443,443,true,FRA,Europe,Frankfurt,251,5.91
34.89.237.7,443,443,true,FRA,Europe,Frankfurt,261,5.91
34.65.106.25,443,443,true,FRA,Europe,Frankfurt,262,5.91
34.65.184.206,443,443,true,FRA,Europe,Frankfurt,193,5.91
34.107.103.224,443,443,true,FRA,Europe,Frankfurt,351,5.91
34.65.176.142,443,443,true,FRA,Europe,Frankfurt,191,5.91
34.89.132.7,443,443,true,FRA,Europe,Frankfurt,251,5.91
35.234.103.173,443,443,true,FRA,Europe,Frankfurt,252,5.90
34.89.158.25,443,443,true,FRA,Europe,Frankfurt,261,5.90
35.204.28.176,443,443,true,FRA,Europe,Frankfurt,259,5.90
34.90.182.66,443,443,true,FRA,Europe,Frankfurt,281,5.90
34.89.250.77,443,443,true,FRA,Europe,Frankfurt,252,5.90
34.154.198.46,443,443,true,FRA,Europe,Frankfurt,261,5.88
34.89.211.255,443,443,true,FRA,Europe,Frankfurt,252,5.88
34.154.6.8,443,443,true,FRA,Europe,Frankfurt,265,5.87
34.89.158.25,443,443,true,FRA,Europe,Frankfurt,261,5.87
34.65.219.21,443,443,true,FRA,Europe,Frankfurt,253,5.86
